iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->incubator-mxnet,0.810077519379845,0.11627906976744186,0.07692307692307693,0.09259259259259259,0.4649326283472625
2,tensorflow->incubator-mxnet,0.7984496124031008,0.1320754716981132,0.1076923076923077,0.11864406779661017,0.46685996929899376
3,tensorflow->incubator-mxnet,0.810077519379845,0.13333333333333333,0.09230769230769231,0.10909090909090909,0.45758144294729663
4,tensorflow->incubator-mxnet,0.8062015503875969,0.1276595744680851,0.09230769230769231,0.10714285714285714,0.460856216953778
5,tensorflow->incubator-mxnet,0.810077519379845,0.13333333333333333,0.09230769230769231,0.10909090909090909,0.4620842572062084
6,tensorflow->incubator-mxnet,0.810077519379845,0.13333333333333333,0.09230769230769231,0.10909090909090909,0.46385809312638576
7,tensorflow->incubator-mxnet,0.8158914728682171,0.10526315789473684,0.06153846153846154,0.07766990291262135,0.46518847006651887
8,tensorflow->incubator-mxnet,0.8023255813953488,0.12244897959183673,0.09230769230769231,0.10526315789473684,0.4641309909602593
9,tensorflow->incubator-mxnet,0.8081395348837209,0.11363636363636363,0.07692307692307693,0.09174311926605505,0.465785434078117
10,tensorflow->incubator-mxnet,0.8062015503875969,0.1111111111111111,0.07692307692307693,0.09090909090909091,0.4573085451134232
11,tensorflow->incubator-mxnet,0.812015503875969,0.13636363636363635,0.09230769230769231,0.11009174311926606,0.46259594064472115
12,tensorflow->incubator-mxnet,0.8023255813953488,0.13725490196078433,0.1076923076923077,0.1206896551724138,0.46273238956165785
13,tensorflow->incubator-mxnet,0.8236434108527132,0.11764705882352941,0.06153846153846154,0.08080808080808081,0.4844448234692137
14,tensorflow->incubator-mxnet,0.8081395348837209,0.13043478260869565,0.09230769230769231,0.10810810810810811,0.4662630052873955
15,tensorflow->incubator-mxnet,0.8081395348837209,0.11363636363636363,0.07692307692307693,0.09174311926605505,0.4634146341463415
16,tensorflow->incubator-mxnet,0.8158914728682171,0.10526315789473684,0.06153846153846154,0.07766990291262135,0.46924782534538634
17,tensorflow->incubator-mxnet,0.8217054263565892,0.11428571428571428,0.06153846153846154,0.08,0.46377281255330044
18,tensorflow->incubator-mxnet,0.8003875968992248,0.1346153846153846,0.1076923076923077,0.11965811965811966,0.4607197680368412
19,tensorflow->incubator-mxnet,0.7945736434108527,0.12727272727272726,0.1076923076923077,0.11666666666666667,0.4546136790039229
20,tensorflow->incubator-mxnet,0.8062015503875969,0.14285714285714285,0.1076923076923077,0.12280701754385964,0.4621524816646769
