iteration,Accuracy,Precision,Recall,F1,AUC
2,0.87248322147651,0.6888888888888889,0.5636363636363636,0.62,0.8725028058361392
1,0.8657718120805369,0.6842105263157895,0.639344262295082,0.6610169491525424,0.9066196306287612
3,0.87248322147651,0.6590909090909091,0.5576923076923077,0.6041666666666666,0.9052141963727329
4,0.8959731543624161,0.7096774193548387,0.7719298245614035,0.7394957983193278,0.9345563077819028
5,0.8624161073825504,0.7380952380952381,0.5081967213114754,0.6019417475728155,0.8725876737912429
6,0.912751677852349,0.7962962962962963,0.7413793103448276,0.7678571428571429,0.9186781609195402
7,0.8557046979865772,0.6122448979591837,0.5555555555555556,0.5825242718446602,0.8849043715846995
8,0.8791946308724832,0.6909090909090909,0.6666666666666666,0.6785714285714286,0.8870204557035741
9,0.889261744966443,0.7368421052631579,0.7,0.717948717948718,0.882983193277311
11,0.8859060402684564,0.7627118644067796,0.6923076923076923,0.7258064516129032,0.9202707164080555
12,0.8523489932885906,0.6792452830188679,0.5714285714285714,0.6206896551724138,0.8851739277271191
10,0.8758389261744967,0.6896551724137931,0.6779661016949152,0.6837606837606838,0.9087298773136657
13,0.87248322147651,0.6491228070175439,0.6727272727272727,0.6607142857142857,0.8841750841750842
15,0.8624161073825504,0.71875,0.6666666666666666,0.6917293233082706,0.8920321498639326
14,0.8590604026845637,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.896971766848816
16,0.8154362416107382,0.5714285714285714,0.5625,0.5669291338582677,0.8518963675213674
17,0.8657718120805369,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.8920765929349621
18,0.8456375838926175,0.6428571428571429,0.5806451612903226,0.6101694915254238,0.8637916894477857
19,0.8322147651006712,0.5714285714285714,0.6101694915254238,0.5901639344262295,0.8492660095028721
20,0.8791946308724832,0.62,0.6458333333333334,0.6326530612244898,0.8420833333333333
