iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->pytorch,0.8337765957446809,0.1590909090909091,0.07368421052631578,0.10071942446043165,0.5107506208443484
2,tensorflow->pytorch,0.8311170212765957,0.15217391304347827,0.07368421052631578,0.09929078014184398,0.5113274052711689
3,tensorflow->pytorch,0.8204787234042553,0.12962962962962962,0.07368421052631578,0.09395973154362416,0.5100857165745414
4,tensorflow->pytorch,0.8311170212765957,0.15217391304347827,0.07368421052631578,0.09929078014184398,0.5104622286309382
5,tensorflow->pytorch,0.836436170212766,0.16666666666666666,0.07368421052631578,0.10218978102189781,0.5146519266202034
6,tensorflow->pytorch,0.8324468085106383,0.15555555555555556,0.07368421052631578,0.1,0.5134102379235761
7,tensorflow->pytorch,0.8297872340425532,0.14893617021276595,0.07368421052631578,0.09859154929577464,0.5159256588960986
8,tensorflow->pytorch,0.8297872340425532,0.14893617021276595,0.07368421052631578,0.09859154929577464,0.5119842986461588
9,tensorflow->pytorch,0.8231382978723404,0.1346153846153846,0.07368421052631578,0.09523809523809523,0.5167507810622447
10,tensorflow->pytorch,0.8297872340425532,0.14893617021276595,0.07368421052631578,0.09859154929577464,0.5130257149723625
11,tensorflow->pytorch,0.836436170212766,0.16666666666666666,0.07368421052631578,0.10218978102189781,0.5123207562284707
12,tensorflow->pytorch,0.8204787234042553,0.12962962962962962,0.07368421052631578,0.09395973154362416,0.5172154129616279
13,tensorflow->pytorch,0.8284574468085106,0.14583333333333334,0.07368421052631578,0.0979020979020979,0.5121925819113995
14,tensorflow->pytorch,0.8337765957446809,0.1590909090909091,0.07368421052631578,0.10071942446043165,0.5041256108307298
15,tensorflow->pytorch,0.8297872340425532,0.14893617021276595,0.07368421052631578,0.09859154929577464,0.5157974845790274
16,tensorflow->pytorch,0.8204787234042553,0.14285714285714285,0.08421052631578947,0.10596026490066225,0.5093807578306496
17,tensorflow->pytorch,0.8337765957446809,0.1590909090909091,0.07368421052631578,0.10071942446043165,0.5105102939998398
18,tensorflow->pytorch,0.8337765957446809,0.1590909090909091,0.07368421052631578,0.10071942446043165,0.5112152527437315
19,tensorflow->pytorch,0.8231382978723404,0.1346153846153846,0.07368421052631578,0.09523809523809523,0.5094848994632701
20,tensorflow->pytorch,0.8337765957446809,0.1590909090909091,0.07368421052631578,0.10071942446043165,0.5123527998077386
