iteration,name,accuracy,precision,recall,f1,auc
0,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
0,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
0,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
0,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
0,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
1,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
1,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
1,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
1,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
1,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
2,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
2,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
2,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
2,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
2,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
3,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
3,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
3,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
3,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
3,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
4,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
4,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
4,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
4,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
4,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
5,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
5,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
5,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
5,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
5,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
6,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
6,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
6,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
6,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
6,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
7,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
7,base-dataset-incubator-mxnet->base-dataset-incubator-mxnet,0.9029126213592233,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8512820512820514
7,base-dataset-keras->base-dataset-keras,0.8421052631578947,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.8527851458885941
7,base-dataset-pytorch->base-dataset-pytorch,0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.7083794758213363
7,base-dataset-tensorflow->base-dataset-tensorflow,0.889261744966443,0.68,0.6666666666666666,0.6732673267326733,0.9273636580138128
8,base-dataset-caffe->base-dataset-caffe,0.8596491228070176,0.3333333333333333,0.14285714285714285,0.2,0.7171428571428571
