iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->caffe,0.6573426573426573,0.10843373493975904,0.2727272727272727,0.15517241379310345,0.49203497424841297
2,tensorflow->caffe,0.6608391608391608,0.10975609756097561,0.2727272727272727,0.1565217391304348,0.49688585459336443
3,tensorflow->caffe,0.6433566433566433,0.10344827586206896,0.2727272727272727,0.15,0.5085638998682477
4,tensorflow->caffe,0.6608391608391608,0.10975609756097561,0.2727272727272727,0.1565217391304348,0.505389867049946
5,tensorflow->caffe,0.6608391608391608,0.10975609756097561,0.2727272727272727,0.1565217391304348,0.5001796622349982
6,tensorflow->caffe,0.6538461538461539,0.11627906976744186,0.30303030303030304,0.16806722689075632,0.49562821894837705
7,tensorflow->caffe,0.6503496503496503,0.0963855421686747,0.24242424242424243,0.13793103448275862,0.5047311055216194
8,tensorflow->caffe,0.6398601398601399,0.1276595744680851,0.36363636363636365,0.1889763779527559,0.5235357527847646
9,tensorflow->caffe,0.6363636363636364,0.08235294117647059,0.21212121212121213,0.11864406779661017,0.48436938555515635
10,tensorflow->caffe,0.6293706293706294,0.0898876404494382,0.24242424242424243,0.13114754098360656,0.4987423643550125
11,tensorflow->caffe,0.6468531468531469,0.11363636363636363,0.30303030303030304,0.1652892561983471,0.4959276560067074
12,tensorflow->caffe,0.6503496503496503,0.11494252873563218,0.30303030303030304,0.16666666666666666,0.49766439094502335
13,tensorflow->caffe,0.6363636363636364,0.09195402298850575,0.24242424242424243,0.13333333333333333,0.49209486166007904
14,tensorflow->caffe,0.6398601398601399,0.09302325581395349,0.24242424242424243,0.13445378151260504,0.4834111869684992
15,tensorflow->caffe,0.6643356643356644,0.13793103448275862,0.36363636363636365,0.2,0.5026949335249731
16,tensorflow->caffe,0.6643356643356644,0.12941176470588237,0.3333333333333333,0.1864406779661017,0.5026949335249731
17,tensorflow->caffe,0.6433566433566433,0.09411764705882353,0.24242424242424243,0.13559322033898305,0.5018565097616481
18,tensorflow->caffe,0.6573426573426573,0.10843373493975904,0.2727272727272727,0.15517241379310345,0.4561624146604384
19,tensorflow->caffe,0.6538461538461539,0.10714285714285714,0.2727272727272727,0.15384615384615385,0.5029943705833034
20,tensorflow->caffe,0.6643356643356644,0.12941176470588237,0.3333333333333333,0.1864406779661017,0.5126961312732063
