iteration,Accuracy,Precision,Recall,F1,AUC
3,0.8422818791946308,0.5740740740740741,0.5636363636363636,0.5688073394495413,0.8734754956977179
2,0.8590604026845637,0.5833333333333334,0.6730769230769231,0.625,0.8764462163852409
1,0.8489932885906041,0.6226415094339622,0.5689655172413793,0.5945945945945946,0.8502873563218392
4,0.8691275167785235,0.6470588235294118,0.7457627118644068,0.6929133858267716,0.9048649031983548
6,0.8657718120805369,0.65,0.6724137931034483,0.6610169491525424,0.8654454022988505
5,0.8557046979865772,0.6428571428571429,0.6101694915254238,0.6260869565217392,0.8945464860648181
8,0.8523489932885906,0.5394736842105263,0.82,0.6507936507936508,0.8862096774193547
7,0.8120805369127517,0.5,0.6785714285714286,0.5757575757575758,0.843417945690673
9,0.825503355704698,0.6103896103896104,0.6811594202898551,0.6438356164383562,0.8543446617302703
11,0.8523489932885906,0.7454545454545455,0.5774647887323944,0.6507936507936508,0.8448532605323572
12,0.8657718120805369,0.5652173913043478,0.7959183673469388,0.6610169491525424,0.8981640849110728
10,0.8322147651006712,0.53125,0.6296296296296297,0.576271186440678,0.8406572556162719
13,0.8322147651006712,0.47540983606557374,0.6170212765957447,0.5370370370370371,0.8569127744341782
14,0.8489932885906041,0.6666666666666666,0.6153846153846154,0.64,0.8540772532188842
15,0.8489932885906041,0.6075949367088608,0.7741935483870968,0.6808510638297872,0.8780754510661564
16,0.8120805369127517,0.527027027027027,0.65,0.582089552238806,0.8539565826330533
17,0.802013422818792,0.4810126582278481,0.6785714285714286,0.562962962962963,0.836297225501771
18,0.7684563758389261,0.38636363636363635,0.6938775510204082,0.49635036496350365,0.8275551184329153
20,0.825503355704698,0.5633802816901409,0.6557377049180327,0.6060606060606061,0.8622812478384174
19,0.7818791946308725,0.40963855421686746,0.68,0.5112781954887218,0.784516129032258
