iteration,name,accuracy,precision,recall,f1,auc 
1,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.48820217990178466
2,tensorflow->caffe,0.7902097902097902,0.06451612903225806,0.06060606060606061,0.0625,0.48323152473350095
3,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.49137621272008625
4,tensorflow->caffe,0.7902097902097902,0.06451612903225806,0.06060606060606061,0.0625,0.48574679602347587
5,tensorflow->caffe,0.7937062937062938,0.06666666666666667,0.06060606060606061,0.06349206349206349,0.4886213917834471
6,tensorflow->caffe,0.7902097902097902,0.06451612903225806,0.06060606060606061,0.0625,0.4868247694334651
7,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.48868127919511317
8,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.486764882021799
9,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.4879027428434543
10,tensorflow->caffe,0.7832167832167832,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.48856150437178103
11,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.4897592526051024
12,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.48802251766678645
13,tensorflow->caffe,0.7972027972027972,0.06896551724137931,0.06060606060606061,0.06451612903225806,0.4859264582584741
14,tensorflow->caffe,0.7902097902097902,0.06451612903225806,0.06060606060606061,0.0625,0.486764882021799
15,tensorflow->caffe,0.7972027972027972,0.06896551724137931,0.06060606060606061,0.06451612903225806,0.48868127919511317
16,tensorflow->caffe,0.7937062937062938,0.06666666666666667,0.06060606060606061,0.06349206349206349,0.48712420649179555
17,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.4879027428434543
18,tensorflow->caffe,0.7867132867132867,0.0625,0.06060606060606061,0.06153846153846154,0.48754341837345794
19,tensorflow->caffe,0.7867132867132867,0.08823529411764706,0.09090909090909091,0.08955223880597014,0.4890406036651096
20,tensorflow->caffe,0.7937062937062938,0.06666666666666667,0.06060606060606061,0.06349206349206349,0.49161576236675053
