iteration,Accuracy,Precision,Recall,F1,AUC
0,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
1,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
2,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
3,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
4,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
5,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
6,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
7,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
8,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
9,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
10,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
11,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
12,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
13,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
14,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
15,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
16,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
17,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
18,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
19,0.5877659574468085,0.6028366784507371,0.732564287430906,0.528810626824161,0.7325642874309061
