iteration,Accuracy,Precision,Recall,F1,AUC
0,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
1,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
2,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
3,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
4,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
5,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
6,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
7,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
8,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
9,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
10,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
11,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
12,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
13,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
14,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
15,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
16,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
17,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
18,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
19,0.5384615384615384,0.5882732919254658,0.7127799736495389,0.4851906398298151,0.7127799736495389
