iteration,Accuracy,Precision,Recall,F1,AUC
0,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
1,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
2,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
3,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
4,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
5,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
6,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
7,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
8,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
9,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
10,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
11,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
12,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
13,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
14,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
15,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
16,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
17,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
18,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
19,0.5910852713178295,0.608717253839205,0.746324407300017,0.5337116426475942,0.7463244073000171
